,country,indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
147,AUS,"Trademark applications, total",21810.0,23460.0,26126.0,30051.0,32382.0,24926.0,26997.0,30171.0,36733.0,42890.0,37841.0,39595.0,44202.0,53280.0,55906.0,59280.0,60316.0,57841.0,55649.0,58913.0,60613.0,62759.0,61730.0,64652.0,70760.0,72325.0,74505.0
148,AUS,"Trademark applications, direct resident",12624.0,14856.0,10039.0,12484.0,14575.0,14772.0,16022.0,18928.0,23858.0,27301.0,24970.0,26439.0,30401.0,36773.0,38192.0,40239.0,40004.0,38391.0,38472.0,39641.0,40154.0,41181.0,39675.0,41682.0,47085.0,47059.0,46344.0
149,AUS,"Trademark applications, direct nonresident",9186.0,8604.0,16087.0,17567.0,17807.0,10154.0,10975.0,11243.0,12875.0,15589.0,12871.0,13156.0,13801.0,16507.0,17714.0,19041.0,20312.0,19450.0,17177.0,19272.0,20459.0,21578.0,22055.0,22970.0,23675.0,25266.0,28161.0
150,AUS,"Patent applications, residents",,,,,1784.0,1797.0,1760.0,1862.0,1858.0,1928.0,2187.0,2364.0,2418.0,2559.0,2555.0,2837.0,2718.0,2821.0,2494.0,2409.0,2383.0,2627.0,3061.0,1988.0,2291.0,2620.0,2503.0
151,AUS,"Patent applications, nonresidents",,,,,12277.0,13221.0,15398.0,16063.0,17960.0,20073.0,20548.0,20181.0,19176.0,20274.0,21302.0,23166.0,24122.0,23525.0,21187.0,22478.0,23143.0,23731.0,26656.0,23968.0,26314.0,25774.0,26403.0
152,AUS,Scientific and technical journal articles,,,,,,,,,,,,,24849.7,26946.4,31031.7,33100.4,35798.6,36822.3,38996.2,41564.9,44378.3,46386.8,49921.9,52643.6,52147.9,51068.2,
153,AUS,Research and development expenditure (% of GDP),,,,,,1.6665,,1.51645,,1.5763,,1.75233,,1.85634,,2.18708,,2.40692,,2.3797599999999997,2.24145,,2.18214,,1.9229599999999998,,
154,AUS,"Charges for the use of intellectual property, receipts (BoP, current US$)",154230038.2,148081020.3,186941007.4,239301517.4,261031141.0,294468435.6,358625655.8,309259521.4,381549793.1,394187702.9,336750552.2,345584849.6,450714506.6,537973548.7,573756156.6,641546473.1,713645961.0,746149101.7,789823546.5,978059795.2,948333508.2,859824156.7,813652776.3,851550055.5,783100619.9,820885409.2,923708693.5
155,AUS,"Charges for the use of intellectual property, payments (BoP, current US$)",806995923.3,843695450.8,798613711.7,969759324.1,1001161631.0,1146884408.0,1196946821.0,1114256382.0,1267126378.0,1160197303.0,1001186254.0,1184791216.0,1502670172.0,1743966466.0,1972287332.0,2151687683.0,2809284035.0,3012858777.0,2832316675.0,3423557729.0,4110573493.0,4165820497.0,3913990517.0,3973566695.0,3526073729.0,3318284382.0,3415009962.0
156,AUT,High-technology exports (% of manufactured exports),8.60114522,8.418167576,8.779092371,10.09522629,8.845950449,8.873684795,10.89953662,10.95634018,12.26966483,14.5978167,14.60985136,16.35080876,15.53155285,16.16497769,13.74293268,13.33616014,11.30981058,10.99615568,11.63616928,11.90557539,11.66917993,12.83668275,13.71555062,13.88056139,13.35296768,12.97055573,9.784738682
157,AUT,High-technology exports (current US$),3132868371.0,3320381762.0,3133580514.0,4008244239.0,4469661909.0,4498407835.0,5428243580.0,5889045124.0,6360053017.0,7359867511.0,7692868384.0,9507515015.0,11393207594.0,14708635263.0,13019354902.0,14330800978.0,14554088272.0,15326989392.0,12254877472.0,13721385414.0,15705949135.0,16175823634.0,18412394058.0,19269819029.0,15947437007.0,15499883229.0,12943326472.0
158,AUT,Technicians in R&D (per million people),,,,,,,,984.82163,,,,1253.18216,,1468.56351,,1789.0373100000002,1958.41253,,1996.2394399999998,,2167.36345,,2367.70997,,2579.54658,,
159,AUT,Researchers in R&D (per million people),,,,,,,,2327.40749,,,,2965.68455,,3158.7946899999997,3449.33454,3524.39758,3810.9272100000003,4138.4535,4141.40294,4349.71722,4387.04452,4661.04799,4712.8267,4937.55516,5019.44022,5157.51761,
160,AUT,"Trademark applications, total",15968.0,15796.0,16235.0,17664.0,19793.0,17198.0,17589.0,18322.0,18488.0,20665.0,19086.0,16962.0,17076.0,16617.0,15267.0,14619.0,14142.0,13335.0,11251.0,10162.0,9367.0,9482.0,8959.0,8718.0,8125.0,8188.0,8173.0
161,AUT,"Trademark applications, direct resident",3605.0,3655.0,3798.0,3877.0,4290.0,5035.0,5372.0,6251.0,6709.0,7840.0,7548.0,7276.0,7475.0,7343.0,7572.0,7656.0,7850.0,7254.0,6386.0,5913.0,5695.0,5863.0,5741.0,5656.0,5267.0,5122.0,5059.0
162,AUT,"Trademark applications, direct nonresident",12363.0,12141.0,12437.0,13787.0,15503.0,12163.0,12217.0,12071.0,11779.0,12825.0,11538.0,9686.0,9601.0,9274.0,7695.0,6963.0,6292.0,6081.0,4865.0,4249.0,3672.0,3619.0,3218.0,3062.0,2858.0,3066.0,3114.0
163,AUT,"Patent applications, residents",2076.0,2117.0,2190.0,1989.0,1728.0,1909.0,1910.0,1957.0,2028.0,1961.0,1815.0,1932.0,2120.0,2248.0,2270.0,2271.0,2385.0,2298.0,2263.0,2424.0,2154.0,2258.0,2162.0,2092.0,2205.0,2078.0,2073.0
164,AUT,"Patent applications, nonresidents",544.0,517.0,513.0,516.0,458.0,449.0,397.0,349.0,341.0,340.0,284.0,329.0,213.0,266.0,235.0,378.0,287.0,329.0,292.0,249.0,276.0,294.0,244.0,271.0,236.0,237.0,232.0
165,AUT,Scientific and technical journal articles,,,,,,,,,,,,,7749.6,8065.7,8903.4,9155.2,9882.7,10334.3,10941.2,11214.8,11824.8,12358.5,12557.6,12900.5,12936.7,12366.4,
166,AUT,Research and development expenditure (% of GDP),,,,,,1.58077,1.6549099999999999,1.73155,1.8453700000000002,1.88602,1.9921,2.0659799999999997,2.17456,2.1661200000000003,2.37324,2.3592299999999997,2.41843,2.56945,2.59674,2.7261,2.6686799999999997,2.91472,2.95492,3.06921,3.04771,3.08695,
167,AUT,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,,,390689679.2,707356755.1,945184743.3,1166891938.0,1004731525.0,926081785.4,1038338525.0,1096821485.0,1078871091.0,1278635630.0,1051842771.0,1197646710.0,1292752930.0
168,AUT,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,1333839904.0,1597628650.0,1801161326.0,2093126154.0,1711140629.0,1611217213.0,1863759113.0,1955938061.0,1754400256.0,1776460605.0,1459218212.0,1466234419.0,1786912048.0
169,AZE,High-technology exports (% of manufactured exports),,,,,,2.227088648,4.433975234,13.69323664,8.537543672,4.5898226630000005,8.849828078,7.895818312,5.148316951,2.177362335,1.0564128640000001,1.750041177,3.399733126,0.923285802,0.983053092,1.083928988,1.3476901209999999,7.268488732000001,13.42318223,7.0024690960000004,2.533869681,2.083501084,1.953678511
170,AZE,High-technology exports (current US$),,,,,,2823315.0,4932667.0,10870354.0,7831002.0,6170398.0,9074523.0,10144360.0,8654984.0,8262913.0,6099097.0,9073107.0,15493641.0,6470757.0,4422662.0,5712075.0,8042867.0,41513310.0,71872403.0,32605511.0,9446115.0,9132464.0,9003491.0
173,AZE,"Trademark applications, total",,,,,1101.0,1992.0,,,,,4427.0,2378.0,2797.0,3496.0,4202.0,4762.0,4586.0,5839.0,4357.0,4412.0,5106.0,5225.0,5718.0,5301.0,4952.0,4702.0,
174,AZE,"Trademark applications, direct resident",,,,,53.0,28.0,,,,,591.0,485.0,671.0,1040.0,1597.0,1776.0,1626.0,1834.0,1655.0,1532.0,1916.0,899.0,1117.0,1015.0,856.0,1030.0,
175,AZE,"Trademark applications, direct nonresident",,,,,1048.0,1964.0,,,,,3836.0,1893.0,2126.0,2456.0,2605.0,2986.0,2960.0,4005.0,2702.0,2880.0,3190.0,4326.0,4601.0,4286.0,4096.0,3672.0,
176,AZE,"Patent applications, residents",,,,,221.0,165.0,,,,,203.0,234.0,246.0,270.0,281.0,246.0,287.0,226.0,264.0,254.0,193.0,144.0,156.0,168.0,184.0,144.0,
177,AZE,"Patent applications, nonresidents",,,,,30.0,17.0,,,,,10.0,7.0,18.0,7.0,6.0,13.0,8.0,7.0,17.0,17.0,12.0,,,,,19.0,
178,AZE,Scientific and technical journal articles,,,,,,,,,,,,,266.1,350.5,351.0,288.4,417.9,475.0,616.2,605.3,645.9,684.0,481.1,399.6,420.9,480.3,
179,AZE,Research and development expenditure (% of GDP),,,,,,0.23533,0.3695,0.42123999999999995,0.39289,0.336,0.34001,0.30155,0.32495999999999997,0.29830999999999996,0.21994,0.17165,0.17006,0.16554000000000002,0.24975999999999998,0.21848,0.21084,0.21427,0.20969000000000002,0.20978000000000002,0.22232,0.20636999999999997,0.18520999999999999
